Participant,BL01,BL02,BL03,BL04,IBOE,Group,Wave
001,1.015943,1.328033,-3.572638,-1.984378,-0.104552,NoMusic,Alpha
002,-3.883528,-3.538954,-3.092545,-2.919214,-1.397968,NoMusic,Alpha
003,-3.410581,-2.465995,-2.615299,-2.492751,-0.620934,NoMusic,Alpha
004,-5.043717,-4.483539,-5.772134,-3.478488,-17.821011,NoMusic,Alpha
005,-9.415017,-8.511078,-10.95439,-10.490385,-10.228749,NoMusic,Alpha
006,-4.779087,-5.361149,-5.631667,-5.161684,-4.577081,NoMusic,Alpha
007,-4.192999,-3.871734,-3.804451,-4.681314,-2.623082,NoMusic,Alpha
001,-8.943463,-8.902215,-9.760962,-8.336549,-9.312467,Music,Alpha
002,-5.005414,-3.559572,-4.533928,-3.559483,-4.040333,Music,Alpha
003,1.520226,-5.332839,-4.030101,-4.099469,-4.821904,Music,Alpha
004,-9.455565,-9.972893,-10.632507,-8.918364,-11.307498,Music,Alpha
005,-6.316056,-7.285235,-6.264477,-6.754361,-4.617107,Music,Alpha
006,-6.475866,-8.128761,-7.606392,-5.035801,-1.801437,Music,Alpha
007,-4.052567,-4.716249,-5.52671,-3.605536,-1.883137,Music,Alpha
001,-11.487938,-11.11767,-12.450703,-9.162042,-11.689187,Music,Beta
002,-7.184986,-6.038671,-6.30359,-6.04174,-7.138092,Music,Beta
003,-6.068242,-8.683831,-7.63545,-7.584808,-8.543659,Music,Beta
004,-12.568924,-14.885278,-15.221135,-13.919659,-15.654466,Music,Beta
005,-9.098348,-9.755641,-9.336112,-8.904345,-6.932647,Music,Beta
006,-7.5834,-9.627567,-9.639206,-7.112871,-3.338408,Music,Beta
007,-11.69419,-11.402037,-11.925321,-11.068353,-10.27104,Music,Beta
001,-2.509844,-1.100872,-8.80493,-8.431148,-8.836479,NoMusic,Beta
002,-7.303503,-6.573255,-6.142207,-6.478946,-6.008146,NoMusic,Beta
003,-5.062446,-4.541893,-4.209913,-4.643974,-2.864528,NoMusic,Beta
004,-8.554906,-7.735889,-8.772905,-7.373454,-20.287757,NoMusic,Beta
005,-12.51269,-9.650458,-14.219787,-12.246544,-13.956479,NoMusic,Beta
006,-8.930219,-9.726639,-9.663838,-9.105402,-8.105644,NoMusic,Beta
007,-7.470902,-7.200228,-5.968775,-6.992746,-6.615259,NoMusic,Beta
001,0.927991,-2.829278,-3.321174,-0.021901,-2.327609,Music,Delta
002,-0.119195,0.800896,0.417111,2.724162,1.655904,Music,Delta
003,0.793288,-0.945621,0.539047,1.438043,-0.253804,Music,Delta
004,-5.892794,-6.181504,-7.145953,-5.513064,-7.064219,Music,Delta
005,-4.776603,-4.788344,-4.326788,-4.292818,-2.902695,Music,Delta
006,-0.578472,-3.453552,-4.219466,0.769853,7.819456,Music,Delta
007,-2.083592,-1.009886,-2.918186,-1.454745,-3.20181,Music,Delta
001,8.330954,8.75286,1.382292,2.346188,0.38441,NoMusic,Delta
002,0.797486,1.284029,1.81693,4.482714,2.478895,NoMusic,Delta
003,3.543191,2.921409,3.819055,6.768362,3.507612,NoMusic,Delta
004,1.990916,3.28563,1.57071,4.435333,-1.928624,NoMusic,Delta
005,-2.311214,-1.467229,-2.907242,-3.191334,-2.839397,NoMusic,Delta
006,2.911459,1.502179,2.277629,2.386489,2.838975,NoMusic,Delta
007,1.951162,2.550245,3.307193,2.569898,3.079361,NoMusic,Delta
001,2.981662,3.02863,-2.733665,-1.462948,-2.577291,NoMusic,Theta
002,-4.013651,-3.661236,-3.48731,-1.929121,-2.560612,NoMusic,Theta
003,-1.120189,-1.298204,-0.85995,0.272853,-0.654395,NoMusic,Theta
004,-1.60307,-1.167515,-2.766158,-0.024097,-12.497967,NoMusic,Theta
005,-6.874272,-6.216349,-8.088613,-8.162427,-8.030618,NoMusic,Theta
006,-0.900359,-1.742021,-1.46775,-1.097845,-1.440535,NoMusic,Theta
007,-2.004649,-2.196704,-1.846106,-2.355313,-1.496685,NoMusic,Theta
001,-4.619112,-6.708711,-6.945724,-4.697139,-6.905919,Music,Theta
002,-3.427889,-2.486408,-2.802833,-1.372168,-2.48121,Music,Theta
003,-1.100532,-4.045668,-2.645724,-2.130982,-4.04966,Music,Theta
004,-8.460557,-8.410858,-9.173476,-7.669493,-9.589184,Music,Theta
005,-6.626515,-7.18708,-6.410929,-6.791161,-5.441792,Music,Theta
006,-5.122714,-6.906092,-6.896355,-3.991569,0.265276,Music,Theta
007,-4.68313,-4.686234,-6.197137,-4.551742,-4.463326,Music,Theta
