Freq. Range[13,30]
Name;#Epochs;Frontal;Central;RightTemporal;LeftTemporal;Parietal;Occipital
001_BL01.set;30;-9.308126;-14.995051;-9.242742;-7.106412;-13.063122;-4.887647
001_BL02.set;30;-9.584458;-13.922589;-8.723078;-6.661581;-13.079328;-4.727609
001_BL03.set;30;-10.065270;-14.581945;-10.682665;-7.268590;-14.592278;-8.421071
001_BL04.set;30;-6.642742;-10.535955;-3.428687;-5.618449;-11.185953;-6.016160
001_IBOE.set;30;-8.907247;-14.077980;-10.585862;-8.211710;-13.971405;-6.284904
002_BL01.set;30;-1.604967;-10.278429;-6.343784;-5.182886;-9.582203;-2.396761
002_BL02.set;30;0.641198;-8.709835;-5.933548;-4.606181;-8.711381;-2.315041
002_BL03.set;30;0.537968;-9.034079;-5.576928;-4.784017;-9.220698;-2.202115
002_BL04.set;30;0.388105;-9.325533;-5.594709;-5.558220;-8.356805;-1.862356
002_IBOE.set;30;-2.424371;-9.596895;-5.827477;-4.346807;-8.768668;-3.809342
003_BL01.set;30;-4.963314;-8.423040;-3.902105;-5.354535;-6.580488;0.421896
003_BL02.set;30;-5.936623;-10.503405;-6.158762;-9.068399;-10.574779;-3.951771
003_BL03.set;30;-6.212944;-10.614554;-6.120325;-7.481165;-8.829828;0.726301
003_BL04.set;30;-5.322355;-9.778630;-5.952644;-7.735810;-9.034432;-2.253462
003_IBOE.set;30;-6.690429;-11.148297;-5.343473;-11.941563;-9.668271;-1.109798
004_BL01.set;30;-10.370120;-13.117151;-5.528461;-9.974901;-13.851870;-12.562167
004_BL02.set;30;-13.609489;-16.411085;-11.940863;-10.392993;-15.696740;-12.660456
004_BL03.set;30;-13.162272;-17.754133;-12.417112;-12.067208;-15.681175;-12.628412
004_BL04.set;30;-11.899209;-16.013877;-11.432829;-10.013601;-14.865805;-11.254540
004_IBOE.set;30;-13.889413;-16.957693;-11.304085;-11.340764;-16.464087;-14.612493
005_BL01.set;30;-7.496959;-11.114395;-6.245626;-7.004520;-8.950136;-5.986556
005_BL02.set;30;-7.468735;-11.750209;-7.285477;-6.962418;-10.391874;-6.527760
005_BL03.set;30;-7.777758;-12.118164;-5.785253;-6.704436;-8.862930;-5.896384
005_BL04.set;30;-6.199923;-12.013901;-6.020786;-6.586143;-8.801634;-5.570506
005_IBOE.set;23;-3.069475;-10.129353;-4.450126;-5.347167;-6.886873;-4.053719
006_BL01.set;30;-3.052685;-10.078400;-2.680089;-3.161990;-9.858925;-4.718053
006_BL02.set;30;-4.605998;-11.896002;-4.247536;-8.738119;-12.463688;-6.675739
006_BL03.set;30;-5.031124;-11.835223;-4.651416;-8.042974;-12.266745;-6.642123
006_BL04.set;30;-3.182595;-9.086910;-1.863861;-4.020417;-9.058480;-4.800081
006_IBOE.set;30;4.464232;-8.994771;6.271481;7.303474;-7.507165;1.569547
007_BL01.set;30;-9.557363;-14.320301;-10.386255;-9.478219;-12.355703;-8.553422
007_BL02.set;30;-9.396654;-13.721734;-9.384204;-8.332169;-12.037299;-7.821625
007_BL03.set;30;-9.256862;-14.720930;-9.847990;-8.781715;-12.400936;-9.027750
007_BL04.set;30;-7.862613;-13.819893;-9.486330;-9.626934;-11.956156;-8.287728
007_IBOE.set;30;-8.158536;-12.906526;-9.124878;-7.913773;-10.723457;-6.121803
