Wave,Task,n_Music,n_NoMusic,U,Z,p_value,Significant,r,Effect_size
Alpha,BL01,7,7,19.0,-0.703,0.535,False,0.188,small
Alpha,BL02,7,7,14.0,-1.342,0.2086,False,0.359,medium
Alpha,BL03,7,7,16.0,-1.086,0.3176,False,0.29,small
Alpha,BL04,7,7,16.0,-1.086,0.3176,False,0.29,small
Alpha,IBOE,7,7,22.0,-0.319,0.8048,False,0.085,negligible
Beta,BL01,7,7,19.0,-0.703,0.535,False,0.188,small
Beta,BL02,7,7,14.0,-1.342,0.2086,False,0.359,medium
Beta,BL03,7,7,17.0,-0.958,0.3829,False,0.256,small
Beta,BL04,7,7,20.0,-0.575,0.62,False,0.154,small
Beta,IBOE,7,7,24.0,-0.064,1.0,False,0.017,negligible
Delta,BL01,7,7,7.0,-2.236,0.0262,True,0.598,large
Delta,BL02,7,7,5.0,-2.492,0.0111,True,0.666,large
Delta,BL03,7,7,5.0,-2.492,0.0111,True,0.666,large
Delta,BL04,7,7,9.0,-1.981,0.053,False,0.529,large
Delta,IBOE,7,7,17.0,-0.958,0.3829,False,0.256,small
Theta,BL01,7,7,11.0,-1.725,0.0973,False,0.461,medium
Theta,BL02,7,7,8.0,-2.108,0.0379,True,0.563,large
Theta,BL03,7,7,10.0,-1.853,0.0728,False,0.495,medium
Theta,BL04,7,7,9.0,-1.981,0.053,False,0.529,large
Theta,IBOE,7,7,19.0,-0.703,0.535,False,0.188,small
