Wave,Task,Group,n,W,p_value,Normal
Alpha,BL01,Music,7,0.885,0.2498,True
Alpha,BL01,NoMusic,7,0.9648,0.8588,True
Alpha,BL02,Music,7,0.9631,0.8449,True
Alpha,BL02,NoMusic,7,0.9682,0.8849,True
Alpha,BL03,Music,7,0.9527,0.7543,True
Alpha,BL03,NoMusic,7,0.9734,0.9216,True
Alpha,BL04,Music,7,0.9219,0.4844,True
Alpha,BL04,NoMusic,7,0.9609,0.8268,True
Beta,BL01,Music,7,0.9078,0.3811,True
Beta,BL01,NoMusic,7,0.9845,0.9784,True
Beta,BL02,Music,7,0.9741,0.9262,True
Beta,BL02,NoMusic,7,0.9107,0.4006,True
Beta,BL03,Music,7,0.967,0.8762,True
Beta,BL03,NoMusic,7,0.9435,0.6706,True
Beta,BL04,Music,7,0.978,0.9491,True
Beta,BL04,NoMusic,7,0.9804,0.9617,True
Delta,BL01,Music,7,0.8969,0.3124,True
Delta,BL01,NoMusic,7,0.9393,0.6326,True
Delta,BL02,Music,7,0.953,0.7566,True
Delta,BL02,NoMusic,7,0.8922,0.2865,True
Delta,BL03,Music,7,0.9941,0.9985,True
Delta,BL03,NoMusic,7,0.9851,0.9807,True
Delta,BL04,Music,7,0.975,0.9317,True
Delta,BL04,NoMusic,7,0.9509,0.738,True
Theta,BL01,Music,7,0.8515,0.1269,True
Theta,BL01,NoMusic,7,0.96,0.8186,True
Theta,BL02,Music,7,0.944,0.6752,True
Theta,BL02,NoMusic,7,0.9299,0.5503,True
Theta,BL03,Music,7,0.9372,0.6133,True
Theta,BL03,NoMusic,7,0.9556,0.7803,True
Theta,BL04,Music,7,0.9496,0.7257,True
Theta,BL04,NoMusic,7,0.8794,0.224,True
